,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,species_name,petal_length_category
count,150.0,150.0,150.0,150.0,150.0,150,150
unique,,,,,,3,3
top,,,,,,setosa,medium
freq,,,,,,50,63
mean,5.843333333333334,3.056,3.7580000000000005,1.1993333333333336,1.0,,
std,0.828066127977863,0.4160343300238446,1.7652982332594662,0.7622376689603465,0.8192319205190405,,
min,4.3,2.0,1.0,0.1,0.0,,
25%,5.1,2.8,1.6,0.3,0.0,,
50%,5.8,3.0,4.35,1.3,1.0,,
75%,6.4,3.3,5.1,1.8,2.0,,
max,7.9,4.4,6.9,2.5,2.0,,
